何ステージ目か,質問文(改行＝\n),選択文⓪,選択文①,選択文②,選択文③,正解番号(0-3),解説or一言文(改行＝\n)
1,「天空の城ラピュタ」より、序盤から飛行石を手中に入れようと企んでいた特務機関の指揮官の名前は？,パズー,シータ,ムスカ,ドーラ,2,ジブリ作品の中でもトップレベルで有名なキャラクターの一人でしょう。
1,「天空の城ラピュタ」より、ラピュタの封印を解く為の滅びの呪文といえば何？,バルサミコス,パルス,バルサン,バルス,3,今では知らない人を探す方が苦労しそうなレベルで有名な呪文ですね。
1,「となりのトトロ」より、サツキとメイの母親が入院していた病院の名前は何？,煉獄山病院,七国山病院,大国山病院,蓬莱山病院,1,現実で『七国山病院』という病院は実在しないようですが、モデルとなった病院は存在するようですよ。
1,「となりのトトロ」より、トウモロコシを「とうもころし」と言い間違えるメイですが、オタマジャクシの事は何と呼んでいた？,おじゃまたくし,おやまたくし,おじゃじゃたくし,おまじゃたくし,0,一度覚え間違えると、正しく覚えなおすのに時間がかかりますよね。
1,「猫の恩返し」より、ネコたちがプレゼントとしてハルの靴箱に入れたものは何？,ミミズ,カエル,おはな,ネズミ,3,相手がネコだとはいえ、あまり喜べるプレゼントではありませんね。
2,「もののけ姫」より、アシタカの相棒として出てくる大カモシカ(アカシシ)の名前は？,ヤックル,サン,乙事主（おっことぬし）,トキ,0,主人であるアシタカと常に一心同体の関係にあるヤックルは、もののけ姫において癒しですね。
2,「もののけ姫」より、映画『もののけ姫』は設定上だと日本の何時代にあたる？,鎌倉時代あたり,飛鳥時代あたり,江戸時代あたり,室町時代あたり,3,「もののけ姫」の時代設定は室町時代と言われています。石火矢という火砲の一種が出てくるところからその辺りと推察できるようです。
2,「魔女の宅急便」より、主人公である魔女の名前は？,キキ,ジジ,トンボ,バーサ,0,キキは魔女の掟である「独り立ちの日」を迎えた13歳の元気で、飛ぶことだけが得意な魔女の女の子です。
2,「ハウルの動く城」より、ハウルと契約を交わしハウル自身と動く城に魔力を供給する火の悪魔の名前は何？,ソフィー・ハッター,マルクル,カルシファー,かかしのカブ,2,常に城のかまどに括られて使役されており、その契約からカルシファーの生死はハウルのものと直結していました。
2,「魔女の宅急便」より、主人公の相棒として出てくる黒猫の名前は何,キキ,トンボ,バーサ,ジジ,3,キキの魔法で会話出来てますが、キキ以外の人間とは会話できません。
3,「耳をすませば」より、読書が好きな主人公である少女の名前は何？,月島 朝子,月島 雫,天沢 聖司,原田 夕子,1,妖精や魔法などが出てくる幻想文学やファンタジー関係の小説を好んで読んでおり、夏休みには本を20冊も読んでいました。
3,「風の谷のナウシカ」より、「火の７日間」と呼ばれる最終戦争で世界を焼き尽くした人型の兵器は何？,蟲,巨神兵,王蟲 (オーム) ,トルメキア,1,「火の七日間」で世界を滅ぼしたとされる巨人。物語時点ではそのほとんどが腐海で化石となっている
3,「崖の上のポニョ」の主人公であるポニョの願っていた事は何？,海に戻ること,魔法を使えるようになること,ハムを食べること,人間になること,3,母親であるグランマンマーレに、人間になるための条件として魔法を捨てることを提示され、ポニョは人間になるため受け入れていました。
3,「ハウルの動く城」より、ハウルの声を担当していた有名人は誰？,木村拓哉,蒼井翔太,松岡禎丞,杉田智和,0,ハウルの声を務めるために、自分の声を録音し宮崎監督に届けたそうです。
3,「猫の恩返し」より、ハルが幼い頃に出逢った白猫の名前は？,ナトリ,ナトル,ユキ,ルーン,2,ハルが幼い頃に出逢った白猫で、ハルを助ける為に彼女を「猫の事務所」へと導いた「不思議な声」の張本人。
4,「千と千尋の神隠し」より、落ち込む千尋をなぐさめようとハクがあげた食べ物は何？,おにぎり,ハム,味噌汁,サンドイッチ,0,「食べたくない」という千尋に「千尋の元気が出るようにまじないをかけて作ったんだ」と言い、おにぎりが三つ入った包みを渡しました。
4,「となりのトトロ」より、サツキに向かって「やーい、おまえんち、おっばけやーしきー！」と言ったのは誰？,メイ,ミチ子,タツオ,カンタ,3,サツキにオハギの入ったおけを渡した後、帰る前にサツキに向かって叫ぶ言葉。
4,「となりのトトロ」より、大雨の日にサツキに傘を貸したクラスメートの名前は何？,ミチ子,カンタ,メイ,タツオ,1,サツキとメイがある日急に雨に降られてしまい、雨宿りしていたところにやってきてサツキにぶっきらぼうに傘を差し出していました。
4,「火垂るの墓」より、節子が持ち歩いていたお菓子の名前は何？,カル素ドロップス,レインボードロップス,サクマ式ドロップス,ポップドロップス,2,実はこの飴のお菓子、「佐久間製菓」が製造・販売する「サクマ式ドロップス」と、「サクマ製菓」がつくる「サクマドロップス」の2種類があります。
4,「紅の豚」より、主人公「ポルコ・ロッソ」の名前はイタリア語で何という意味？,飛行機乗り,豚,赤い飛行機,紅の豚,3,まさに「紅の豚」のタイトル通りですね。
5,「耳をすませば」より、雫が書いた物語に登場する主人公の猫の人形の通称は何？,ムーン,ナオ,男爵(バロン),北（きた）,2,「猫の恩返し」にも再登場してました。
5,「耳をすませば」より、天沢聖司の祖父の西司朗が経営する店の名前は何？,葬儀屋,パン屋,地球屋,落語屋,2,アンティークショップである「地球屋」ですが、元になったモデルのお店は「桜ヶ丘邪宗門」と言います。
5,「耳をすませば」より、天沢聖司がいじわるで雫が作った「カントリーロード」を替え歌で何と歌った？,シドニーロード,コンクリートロード,サントリーロード,カントリーマーム,1,天沢聖司は、雫が遊びでコンクリートロードという歌詞を作って歌っていたのを知っていました。
5,「コクリコ坂から」より、舞台となった日本の都市はどこ？,横浜市,千葉市,広島市,静岡市,0,『コクリコ坂から』の舞台は、1963（昭和38）年の港町・横浜です。
5,「ハウルの動く城」より、ハウルが「マダム」と呼んでいる、ハウルの師匠の名前は何？,ソフィー,マルクル,サリマン,レティー,2,サリマンとハウルの関係は師弟関係にあり、ハウルは彼女の最後の弟子でした。
6,「ハウルの動く城」より、ソフィーの妹が看板娘として働いている店の名前は何？,カフェ・ハウル,カフェ・ドストエフスキー,カフェ・チェスカモール,カフェ・チェザーリ,3,カフェ・チェザーリは街の中心部にあります。
6,「千と千尋の神隠し」より、湯婆婆の言いつけによりハクが銭婆から盗み出したものは何？,判子,財布,帽子,着物,0,この判子は「魔女の契約印」と呼ばれる特殊なものでした。
6,「風の谷のナウシカ」より、王蟲が怒ったとき目の色が変化するのですが、何色に変化していた？,黄色,赤色,紫色,白色,1,通常は青色をしている14個の目は、怒りなどの精神的に高揚することがあると赤く染まります。
6,「平成狸合戦ぽんぽこ」より、過激化した「強硬派」の狸たちを率いたリーダー格の狸の名前は何？,正吉,権太,青左衛門,文太,1,"本名：鷹ヶ森の権太。自分達に害をもたらす人間は皆殺しにすべきだと訴える過激な狸たち""強硬派""のリーダー格。"
6,「崖の上のポニョ」より、ポニョが半魚人になる力を得たきっかけは何？,宗介の血液を舐めた,宗介とキスをした,宗介を守りたいと強く願った,宗介と海に入った,0,ポニョはもともとさかなの子でしたが、宗介の血を舐めた事で半魚人になりました。
7,「崖の上のポニョ」より、ポニョの好きな食べ物は何？,ハム,たまご,チーズ,なっとう,0,サンドイッチを食べるときには真っ先にハムから食べています。
7,ジブリ初の3DCG作品は何？,楽園追放 -Expelled from Paradise-,Alphablocks,白爪草,アーヤと魔女,3,2021年8月27日(金)にスタジオジブリ初のフル3DCGアニメーション映画『アーヤと魔女』が公開されました。
7,ジブリ初の３DCG作品となった「アーヤと魔女」の舞台となった国はどこ？,オランダ,イギリス,イタリア,ニュージーランド,1,舞台は1990年代のイギリスです。
7,「魔女の宅急便」より、キキが届けたおばあちゃんの手作り料理は何？,アップルパイ,チョコパイ,ニシンのパイ,パイナップルパイ,2,ニシンのパイとは「スターゲイジーパイ」の事で、イギリスのコーンウォールの伝統的な料理であり、発祥の地であるマウゼル村を救ったいわれもある料理です。
7,「借りぐらしのアリエッティ」より、アリエッティが常に携帯している道具は何？,針,梯子,ボタン,串,0,アリエッティには欠かせない道具ですね。
8,「崖の上のポニョ」より、宗介が通っていた保育園の名前は何？,すみれ園,ひまわり園,花畑園,ポピー園,1,主人公のそうすけは、保育園「ひまわり園」に通う5歳の男の子です。
8,「天空の城ラピュタ」より、ヒロインのシータの本名は何？,トエル・シータ・ウル・ラピュタ,トエル・リュシータ・ウル・ラピュタ,シータ・トエル・ラピュタ,リュシータ・トエル・ウル・ラピュタ,3,かつて天帝としてラピュタに君臨した王族の宗家たるトエル家の末裔で、継承名は「リュシータ・トエル・ウル・ラピュタ」。ラピュタ語でウルは「王」、トエルは「真」を意味し、彼女が真のラピュタの王である事を意味している。
8,「借りぐらしのアリエッティ」より、アリエッティの家族が暮らしていた屋敷の主人である牧貞子の愛車はどこのメーカーのもの？,ロールス・ロイス,メルセデスベンツ,ポルシェ,ベントレー,1,牧貞子の運転する車は、メルセデス・ベンツ・ミディアムクラスのW123型です。
8,「コクリコ坂から」より、主人公の松崎 海の「メル」というあだ名の由来は何？,メルカリをよく利用しているところから。,海をフランス語で訳したLa mar（ラ・メール）をもじったものから。,蜂蜜をラテン語で訳したMelから。,ピッチ（音の高さ）の心理尺度であるメル尺度から。,1,実は「メル」というあだ名を付けた人は  「ココリコ荘」の北斗さんで、原作コミックでは小松崎家に下宿する獣医の卵である男性です。
8,「崖の上のポニョ」より、ポニョの母親の名前は何,グランマンマーレ,グランドマザー,グランドファーザー,グランマーレ,0,グランマンマーレは「海なる母」という存在で、作中では船員たちに「観音様」と呼ばれていました。
9,「崖の上のポニョ」より、主人公ポニョの本名は何？,グランチャイルド,グラン,ブリュンヒルデ,グランマ,2,「ポニョ」は宗介がその見た目から勝手につけた名前で、本名は「ブリュンヒルデ」です。
9,「となりのトトロ」より、サツキとメイの苗字は何？,大垣,森山,草壁,川上,2,名前で呼ばれる事が多いので印象に残らないのですが、サツキとメイは草壁家です。
9,「千と千尋の神隠し」より、ハクの本名は何？,ニシカワノコハクヌシ,ニカミハヤコハクヌシ,ニギヤカシコハクヌシ,ニギハヤミコハクヌシ,3,「ニギハヤミコハクヌシ」の由来は日本の古い言い伝えなどが書かれた「古事記」や「日本書紀」に出てくる神様「ニギハヤヒノミコト」から来ているようです。
9,「千と千尋の神隠し」より、主人公である千尋の苗字は何？,萩野（おぎの）,月島（つきしま）,天沢（あまさわ）,野中（のなか）,0,「千と千尋の神隠し」の千尋の本名は「荻野千尋」です。
9,「紅の豚」より、主人公が空軍に所属していた頃の階級は何？,大佐,少尉,少佐,大尉,3,主人公であるポルノはイタリアのジェノバ市出身、元イタリア軍パイロット。階級は大尉です。
10,「思い出のマーニー」より、杏奈が見つけた古い屋敷は何と呼ばれていた？,お化け屋敷,湿っ地(しめっち)屋敷,おんぼろ屋敷,ボロい屋敷,1,海辺での暮らしを始めた日、杏奈は入り江でぽつりと立つ古い屋敷「湿っ地屋敷（しめっちやしき）」を見つけました。
10,「となりのトトロ」より、サツキとメイの父親の職業は何？,大学教授(非常勤講師),専門学校教師,高校教師,中学教師,0,草壁家の父、草壁タツオの職業は考古学者であり、大学で考古学を教える非常勤講師でもあります。
10,「となりのトトロ」より、ネコバスの行き先が「七国山病院」となったときに文字が反転していたのですがそれはどれ？,七,国,病,院,3,日本では古くから逆さ事と呼ばれる風習があり、誰かの「死」に対処するために、聖者の領域から死者を隔離するための儀式があります。ネコバスの逆さ文字も似たものが関係しているのではと言われています。
10,「猫の恩返し」より、バロンの本名は何？,バロン・フォン・ジッキンゲン,フンベルト・フォン・ジッキンゲン,バルトロメオ・フォン・ジッキンゲン,アロー・フォン・ジッキンゲン,1,バロンの本名は「フンベルト・フォン・ジッキンゲン」でドイツの騎士に由来しています。
10,「魔女の宅急便」より、「トンボ」の愛称で呼ばれている少年の名前は何？,トンボ,トルコ,コポリ,コント,2,「魔女の宅急便」の映画本編でキキが居候先のおソノさんから頼まれて、「コポリさん家にパンを届ける」シーンがあります。